name,symbol,cmc_rank,last_updated,price,%_change_24h,%_change_7d,%_change_30d,%_change_60d,%_change_90d,market_cap
Secret,SCRT,86,2022-02-25 04:55,5.033150725145521,10.00593304,-19.24199334,-18.59593502,-20.57470711,-21.58701013,821891151.1275918
BORA,BORA,87,2022-02-25 04:55,0.9305169292976196,7.44345285,-9.94777785,-2.28015804,-13.80979808,-25.81737247,801407705.3575749
Symbol,XYM,88,2022-02-25 04:55,0.1396294814268115,3.36780412,-16.04918464,-13.58826299,-40.85086593,-61.59680581,779475995.5224055
Mina,MINA,89,2022-02-25 04:55,2.0002098558411783,6.6639047,-21.74433638,-16.17350809,-50.19388091,-60.61762488,774425530.0151654
Oasis Network,ROSE,90,2022-02-25 04:55,0.21283607936580057,5.02655384,-27.21898294,-36.11178688,-42.63924867,-36.0910124,743439470.1172869
Decred,DCR,91,2022-02-25 04:55,52.440549477565405,6.87856586,-14.70153185,-6.89205358,-34.2515593,-45.40891364,723465720.4936255
yearn.finance,YFI,92,2022-02-25 04:55,19568.95405334964,6.76003935,-13.88626171,-20.70552383,-37.64254616,-33.60968507,716961883.2886785
Celsius,CEL,93,2022-02-25 04:55,2.991925225865501,-1.12022816,-8.04622568,32.77750087,-22.56358145,-24.32731206,714661790.5064337
Compound,COMP,94,2022-02-25 04:55,108.38492745230084,8.91617033,-12.24283513,-16.38583808,-53.80330236,-59.6805533,714037594.9549605
Holo,HOT,95,2022-02-25 04:55,0.0041012745303049426,7.26159871,-15.78509862,-7.86097356,-53.18107238,-67.08978121,710590290.172008
IoTeX,IOTX,96,2022-02-25 04:55,0.07105788074312942,6.84710545,-20.25928555,-3.92146966,-49.8807901,-55.99988765,677947559.4231843
renBTC,RENBTC,97,2022-02-25 04:55,38591.74933447298,10.43668897,-4.94140878,3.08757861,-24.10609394,-28.42509867,627979127.0564612
XDC Network,XDC,98,2022-02-25 04:55,0.049455368083038076,0.8391296,-11.30517162,-23.59484508,-38.83678625,-48.76018552,608548932.283139
Gnosis,GNO,99,2022-02-25 04:55,320.3353915014257,10.14290052,-11.61262546,20.21197155,-32.19503066,-21.17147855,597434154.2057295
Qtum,QTUM,100,2022-02-25 04:55,5.861578086685344,10.06325241,-17.6001822,1.90278645,-41.43393407,-59.8396761,580433518.858056
